Accentors,Prunella,modularis
Petrels and shearwaters,Puffinus,mauretanicus
Pheasants and partridges,Chrysolophus,pictus
Pheasants and partridges,Coturnix,coturnix
Pipits and wagtails,Anthus,spinoletta
Plovers,Charadrius,morinellus
"Rails, crakes and coots",Porzana,porzana
"Sandpipers, snipes and phalaropes",Calidris,ferruginea
"Sandpipers, snipes and phalaropes",Calidris,melanotos
"Sandpipers, snipes and phalaropes",Calidris,minuta
"Sandpipers, snipes and phalaropes",Calidris,temminckii
"Sandpipers, snipes and phalaropes",Numenius,phaeopus
"Sandpipers, snipes and phalaropes",Phalaropus,fulicarius
"Sandpipers, snipes and phalaropes",Phalaropus,lobatus
"Sandpipers, snipes and phalaropes",Philomachus,pugnax
"Sandpipers, snipes and phalaropes",Tringa,erythropus
"Sandpipers, snipes and phalaropes",Tringa,glareola
"Sandpipers, snipes and phalaropes",Tringa,ochropus
Shrikes,Lanius,collurio
Shrikes,Lanius,excubitor
Skuas,Stercorarius,longicaudus
Skuas,Stercorarius,pomarinus
Thick-knees,Burhinus,oedicnemus
Treecreepers,Certhia,brachydactyla
Warblers,Acrocephalus,paludicola
Warblers,Acrocephalus,palustris
Warblers,Locustella,luscinioides
Warblers,Phylloscopus,inornatus
Woodpeckers,Jynx,torquilla
